Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	22.0	10.156552345927015	-inf	45	0.982	0.0005	2.348760763804118e-05
2000	22.96551724137931	13.308409126116223	-inf	87	0.964	0.0005	0.00017728851901160347
3000	23.28	13.622833772750807	23.74	130	0.946	0.0005	0.0003013244602415297
4000	23.13	11.254025946300285	24.27	173	0.9279999999999999	0.0005	0.00042205625110202364
5000	21.83	9.334939742708572	24.27	220	0.91	0.0005	0.0005494623714023166
6000	22.37	10.820032347456268	24.27	260	0.892	0.0005	0.000670304430855645
7000	24.77	12.965226569559054	24.96	298	0.874	0.0005	0.0007996130651897854
8000	26.31	15.028436379078164	26.42	334	0.856	0.0005	0.0009220670329199897
9000	28.69	15.957252269736166	28.85	366	0.838	0.0005	0.0010582982831531102
10000	29.04	15.49769015047081	29.44	404	0.82	0.0005	0.0011939553419748942
11000	26.47	12.579709853569756	29.44	445	0.802	0.0005	0.0013334853781594171
12000	27.57	15.031470320630648	29.44	473	0.784	0.0005	0.0014598380194769966
13000	30.02	16.16971242786958	30.34	504	0.766	0.0005	0.0016022114621268378
14000	33.74	17.787422522670337	33.74	529	0.748	0.0005	0.0017319606410132514
15000	36.08	19.26690426612433	36.98	553	0.73	0.0005	0.001868499583668179
16000	38.77	23.265362666418937	38.77	576	0.712	0.0005	0.002019041975339254
17000	41.89	27.641235500606697	42.57	594	0.694	0.0005	0.0021580396095911662
18000	45.55	31.035906624424555	46.02	613	0.6759999999999999	0.0005	0.0022963912619484795
19000	50.48	33.701477712408995	50.48	628	0.6579999999999999	0.0005	0.0024382301171620687
20000	53.0	35.00628514995557	53.27	646	0.6399999999999999	0.0005	0.002582093212339613
21000	56.09	37.948147517369016	56.92	660	0.622	0.0005	0.00272354437245263
22000	62.54	41.81325627118749	62.54	672	0.604	0.0005	0.0028630291091071235
23000	62.78	42.36002360717	63.04	690	0.586	0.0005	0.0030165996816423203
24000	68.08	45.40697743739392	68.08	698	0.5680000000000001	0.0005	0.0031593573755688137
25000	70.87	50.68661657676511	70.87	711	0.55	0.0005	0.0032998938030666773
26000	73.74	54.79244838479113	74.27	719	0.532	0.0005	0.003448181947072347
27000	79.51	57.141140170633626	79.51	728	0.514	0.0005	0.003598385519451565
28000	84.3	57.54276670442602	84.3	736	0.4959999999999999	0.0005	0.003748762077755398
29000	89.6	61.047686278842704	89.6	746	0.478	0.0005	0.003893775078985426
30000	94.31	62.41132829863501	94.31	755	0.45999999999999996	0.0005	0.004042171902126736
31000	99.31	62.824946478289974	99.31	761	0.44199999999999995	0.0005	0.0041969296005037095
32000	103.83	63.69993014124898	105.0	768	0.42399999999999993	0.0005	0.004344339304500156
33000	108.11	63.42884123172991	108.11	775	0.4059999999999999	0.0005	0.0045064806938171385
34000	115.01	65.0651204563551	115.01	781	0.3879999999999999	0.0005	0.004659702512953017
35000	121.38	64.59501219134492	121.38	787	0.37	0.0005	0.004810553259319729
36000	127.72	63.89899529726583	127.72	792	0.352	0.0005	0.004976183904541864
37000	130.97	64.28817231808664	130.97	798	0.33399999999999996	0.0005	0.005137057635519239
38000	134.94	63.374256603134995	134.94	803	0.31599999999999995	0.0005	0.0052902313073476155
39000	142.38	60.56216310535812	142.38	808	0.29799999999999993	0.0005	0.0054491081502702505
40000	145.73	59.8250541161477	145.73	813	0.2799999999999999	0.0005	0.005607881413565742
41000	151.59	56.75228541653631	151.59	818	0.262	0.0005	0.005768832365671794
42000	155.04	55.92493540452237	155.04	824	0.244	0.0005	0.005940241747432285
43000	159.2	54.94651945300994	159.2	829	0.22599999999999998	0.0005	0.006108171078893873
44000	162.52	53.58161625035214	162.52	834	0.20799999999999996	0.0005	0.006278362009260389
45000	167.5	48.96008578423857	167.5	840	0.18999999999999995	0.0005	0.006659352779388427
46000	170.78	44.06281425419853	170.78	845	0.17199999999999993	0.0005	0.006840270757675171
47000	173.77	41.65497689352378	174.01	851	0.15400000000000003	0.0005	0.007010039885838827
48000	177.67	36.832609193485055	177.67	856	0.136	0.0005	0.007234155337015788
49000	179.06	36.23418827571552	179.06	861	0.118	0.0005	0.007480914195378621
50000	181.02	35.239744607474094	181.02	866	0.1	0.0005	0.007749378681182861
51000	184.18	31.29452987344593	184.18	871	0.0984	0.0005	0.00794753717051612
52000	185.88	28.118421008299883	186.76	877	0.09680000000000001	0.0005	0.008151434063911438
53000	184.97	25.53368559374067	186.76	884	0.0952	0.0005	0.008420275582207573
54000	181.39	29.155752434125244	186.76	891	0.0936	0.0005	0.008668273157543606
55000	182.08	26.025249278345054	186.76	896	0.092	0.0005	0.00892161210378011
56000	181.04	27.24441961209671	186.76	902	0.09040000000000001	0.0005	0.009221298032336765
57000	180.19	27.43636091029567	186.76	908	0.0888	0.0005	0.009496560759014554
58000	176.87	31.005049588736345	186.76	915	0.0872	0.0005	0.00973965240849389
59000	175.11	31.929264006550483	186.76	921	0.08560000000000001	0.0005	0.010032380554411146
60000	172.13	34.464954664122224	186.76	928	0.084	0.0005	0.010206604401270549
61000	172.61	34.58840701738084	186.76	933	0.0824	0.0005	0.010502630472183227
62000	173.09	34.86663017843853	186.76	938	0.08080000000000001	0.0005	0.010776898860931396
63000	174.2	34.81005601834045	186.76	943	0.0792	0.0005	0.011054099135928684
64000	174.9	34.84293328639252	186.76	948	0.0776	0.0005	0.011280318829748365
65000	175.71	34.868121543897374	186.76	953	0.07600000000000001	0.0005	0.011495036350356208
66000	175.81	34.86995698305348	186.76	958	0.07440000000000001	0.0005	0.011797461708386739
67000	176.3	35.05096289690199	186.76	963	0.0728	0.0005	0.012003383172882928
68000	175.79	35.448073290377856	186.76	968	0.07120000000000001	0.0005	0.012218586007754008
69000	176.09	35.58541695695021	186.76	973	0.06960000000000001	0.0005	0.012402996818224588
70000	175.52	40.45330147219138	186.76	980	0.068	0.0005	0.01257900231414371
71000	175.7	40.69901718715085	186.76	986	0.06640000000000001	0.0005	0.012771466175715129
72000	174.25	47.03304689258394	186.76	994	0.0648	0.0005	0.012983162535561456
73000	175.15	46.87501999999573	186.76	999	0.0632	0.0005	0.013365771306885613
74000	176.19	46.66791081674859	186.76	1004	0.06160000000000001	0.0005	0.013859394523832533
75000	177.64	45.26047282121565	186.76	1010	0.060000000000000005	0.0005	0.014221817188792759
76000	179.68	44.42654161647066	186.76	1015	0.0584	0.0005	0.014649212426609463
77000	181.59	43.68594625277103	186.76	1020	0.0568	0.0005	0.015191998150613574
78000	180.64	48.01822987158107	186.76	1027	0.0552	0.0005	0.015616854694154527
79000	180.64	48.01822987158106	186.76	1032	0.05360000000000001	0.0005	0.01582758327325185
80000	172.13	58.161268039821834	186.76	1042	0.052000000000000005	0.0005	0.016014860603544446
81000	172.27	58.211314192345796	186.76	1047	0.05040000000000001	0.0005	0.016316942969957986
82000	171.99	58.12477870925618	186.76	1052	0.0488	0.0005	0.01670869588851929
83000	172.02	58.13294762868988	186.76	1057	0.0472	0.0005	0.01705409030119578
84000	171.94	58.09988296029519	186.76	1062	0.0456	0.0005	0.017301337321599324
85000	172.16	57.883455321879325	186.76	1067	0.04400000000000001	0.0005	0.017472157213422986
86000	172.04	57.838035927925496	186.76	1072	0.04240000000000001	0.0005	0.017663702501191033
87000	175.54	53.997299932496624	186.76	1077	0.0408	0.0005	0.01783419973320431
88000	173.41	56.681759852707465	186.76	1084	0.039200000000000006	0.0005	0.018011071350839403
89000	177.89	50.1559358401376	186.76	1090	0.0376	0.0005	0.01821506288316515
90000	172.27	57.07343602763022	186.76	1098	0.036000000000000004	0.0005	0.018424288365576004
91000	172.16	57.02205187469143	186.76	1103	0.034400000000000014	0.0005	0.018622280293040805
92000	164.7	63.759156205207105	186.76	1112	0.03280000000000001	0.0005	0.018792637983957926
